MatchId,BotType,Result,TimeMs,TotalClicks
1,RandomBot,DEFEAT,2,2
2,RandomBot,DEFEAT,0,5
3,RandomBot,DEFEAT,0,3
4,RandomBot,VICTORY,1,1
5,RandomBot,DEFEAT,0,7
6,RandomBot,DEFEAT,0,4
7,RandomBot,DEFEAT,1,3
8,RandomBot,DEFEAT,0,2
9,RandomBot,DEFEAT,0,5
10,RandomBot,DEFEAT,1,2
11,RandomBot,DEFEAT,0,3
12,RandomBot,DEFEAT,0,4
13,RandomBot,DEFEAT,0,4
14,RandomBot,DEFEAT,0,6
15,RandomBot,VICTORY,0,1
16,RandomBot,DEFEAT,0,8
17,RandomBot,DEFEAT,0,2
18,RandomBot,DEFEAT,0,3
19,RandomBot,DEFEAT,0,1
20,RandomBot,DEFEAT,1,2
21,RandomBot,VICTORY,0,1
22,RandomBot,VICTORY,1,5
23,RandomBot,DEFEAT,0,2
24,RandomBot,VICTORY,0,2
25,RandomBot,DEFEAT,0,3
26,RandomBot,DEFEAT,0,3
27,RandomBot,VICTORY,0,2
28,RandomBot,VICTORY,0,1
29,RandomBot,DEFEAT,0,4
30,RandomBot,DEFEAT,0,2
31,RandomBot,DEFEAT,0,4
32,RandomBot,DEFEAT,0,3
33,RandomBot,DEFEAT,0,3
34,RandomBot,DEFEAT,1,2
35,RandomBot,DEFEAT,0,3
36,RandomBot,DEFEAT,1,2
37,RandomBot,DEFEAT,1,2
38,RandomBot,VICTORY,0,3
39,RandomBot,DEFEAT,0,2
40,RandomBot,DEFEAT,0,3
41,RandomBot,DEFEAT,0,3
42,RandomBot,DEFEAT,0,4
43,RandomBot,DEFEAT,0,8
44,RandomBot,DEFEAT,0,2
45,RandomBot,DEFEAT,0,5
46,RandomBot,DEFEAT,0,3
47,RandomBot,DEFEAT,0,6
48,RandomBot,DEFEAT,0,2
49,RandomBot,VICTORY,0,1
50,RandomBot,DEFEAT,0,2
51,RandomBot,DEFEAT,0,3
52,RandomBot,DEFEAT,0,2
53,RandomBot,DEFEAT,0,5
54,RandomBot,VICTORY,1,1
55,RandomBot,DEFEAT,0,2
56,RandomBot,DEFEAT,0,4
57,RandomBot,DEFEAT,0,4
58,RandomBot,DEFEAT,0,5
59,RandomBot,DEFEAT,0,3
60,RandomBot,DEFEAT,0,2
61,RandomBot,DEFEAT,0,3
62,RandomBot,DEFEAT,0,3
63,RandomBot,VICTORY,0,4
64,RandomBot,DEFEAT,0,3
65,RandomBot,VICTORY,0,2
66,RandomBot,DEFEAT,0,3
67,RandomBot,DEFEAT,0,1
68,RandomBot,DEFEAT,0,4
69,RandomBot,DEFEAT,0,2
70,RandomBot,VICTORY,0,4
71,RandomBot,DEFEAT,0,3
72,RandomBot,DEFEAT,0,3
73,RandomBot,DEFEAT,0,2
74,RandomBot,VICTORY,1,1
75,RandomBot,DEFEAT,0,3
76,RandomBot,DEFEAT,0,3
77,RandomBot,DEFEAT,0,3
78,RandomBot,DEFEAT,1,2
79,RandomBot,DEFEAT,0,2
80,RandomBot,DEFEAT,0,4
81,RandomBot,VICTORY,0,3
82,RandomBot,DEFEAT,0,2
83,RandomBot,VICTORY,0,1
84,RandomBot,DEFEAT,0,2
85,RandomBot,DEFEAT,0,2
86,RandomBot,DEFEAT,0,4
87,RandomBot,DEFEAT,1,3
88,RandomBot,DEFEAT,0,1
89,RandomBot,DEFEAT,0,2
90,RandomBot,DEFEAT,0,1
91,RandomBot,DEFEAT,0,2
92,RandomBot,DEFEAT,0,2
93,RandomBot,DEFEAT,0,2
94,RandomBot,DEFEAT,0,6
95,RandomBot,DEFEAT,0,2
96,RandomBot,VICTORY,0,1
97,RandomBot,DEFEAT,1,6
98,RandomBot,DEFEAT,0,2
99,RandomBot,DEFEAT,0,2
100,RandomBot,DEFEAT,0,3
101,RandomBot,DEFEAT,0,6
102,RandomBot,VICTORY,0,2
103,RandomBot,DEFEAT,0,3
104,RandomBot,VICTORY,0,1
105,RandomBot,DEFEAT,0,4
106,RandomBot,DEFEAT,0,3
107,RandomBot,DEFEAT,0,3
108,RandomBot,DEFEAT,0,3
109,RandomBot,DEFEAT,0,2
110,RandomBot,VICTORY,0,1
111,RandomBot,DEFEAT,0,3
112,RandomBot,VICTORY,0,4
113,RandomBot,DEFEAT,0,2
114,RandomBot,DEFEAT,0,2
115,RandomBot,DEFEAT,0,3
116,RandomBot,VICTORY,0,1
117,RandomBot,DEFEAT,0,2
118,RandomBot,DEFEAT,0,2
119,RandomBot,VICTORY,0,1
120,RandomBot,DEFEAT,0,3
121,RandomBot,DEFEAT,0,2
122,RandomBot,DEFEAT,0,1
123,RandomBot,DEFEAT,0,5
124,RandomBot,DEFEAT,0,2
125,RandomBot,DEFEAT,0,8
126,RandomBot,DEFEAT,0,2
127,RandomBot,DEFEAT,0,6
128,RandomBot,DEFEAT,0,2
129,RandomBot,DEFEAT,1,4
130,RandomBot,VICTORY,0,1
131,RandomBot,DEFEAT,0,2
132,RandomBot,VICTORY,0,2
133,RandomBot,VICTORY,0,2
134,RandomBot,DEFEAT,0,3
135,RandomBot,DEFEAT,0,2
136,RandomBot,DEFEAT,0,2
137,RandomBot,DEFEAT,0,2
138,RandomBot,DEFEAT,0,3
139,RandomBot,DEFEAT,0,4
140,RandomBot,DEFEAT,0,2
141,RandomBot,DEFEAT,0,3
142,RandomBot,DEFEAT,0,3
143,RandomBot,DEFEAT,0,2
144,RandomBot,DEFEAT,0,2
145,RandomBot,DEFEAT,0,5
146,RandomBot,DEFEAT,0,2
147,RandomBot,VICTORY,0,2
148,RandomBot,DEFEAT,0,2
149,RandomBot,VICTORY,0,1
150,RandomBot,DEFEAT,0,2
151,RandomBot,DEFEAT,0,2
152,RandomBot,DEFEAT,0,4
153,RandomBot,DEFEAT,0,3
154,RandomBot,DEFEAT,1,5
155,RandomBot,DEFEAT,0,2
156,RandomBot,DEFEAT,0,2
157,RandomBot,DEFEAT,0,3
158,RandomBot,DEFEAT,0,2
159,RandomBot,VICTORY,0,3
160,RandomBot,DEFEAT,0,4
161,RandomBot,VICTORY,0,4
162,RandomBot,DEFEAT,0,5
163,RandomBot,DEFEAT,0,2
164,RandomBot,DEFEAT,0,3
165,RandomBot,DEFEAT,0,4
166,RandomBot,VICTORY,0,2
167,RandomBot,DEFEAT,0,2
168,RandomBot,VICTORY,0,2
169,RandomBot,DEFEAT,0,4
170,RandomBot,VICTORY,0,1
171,RandomBot,DEFEAT,0,7
172,RandomBot,VICTORY,0,1
173,RandomBot,DEFEAT,0,3
174,RandomBot,VICTORY,0,1
175,RandomBot,DEFEAT,0,3
176,RandomBot,VICTORY,0,3
177,RandomBot,DEFEAT,0,2
178,RandomBot,DEFEAT,0,5
179,RandomBot,DEFEAT,0,2
180,RandomBot,VICTORY,0,2
181,RandomBot,DEFEAT,0,2
182,RandomBot,DEFEAT,0,6
183,RandomBot,VICTORY,0,1
184,RandomBot,DEFEAT,0,4
185,RandomBot,DEFEAT,0,2
186,RandomBot,DEFEAT,0,2
187,RandomBot,DEFEAT,0,3
188,RandomBot,DEFEAT,0,4
189,RandomBot,DEFEAT,0,3
190,RandomBot,DEFEAT,0,3
191,RandomBot,DEFEAT,0,4
192,RandomBot,VICTORY,0,5
193,RandomBot,DEFEAT,0,2
194,RandomBot,DEFEAT,0,2
195,RandomBot,VICTORY,0,1
196,RandomBot,DEFEAT,0,1
197,RandomBot,VICTORY,0,2
198,RandomBot,VICTORY,0,2
199,RandomBot,DEFEAT,0,3
200,RandomBot,DEFEAT,0,2
201,RandomBot,VICTORY,0,1
202,RandomBot,VICTORY,0,1
203,RandomBot,DEFEAT,0,3
204,RandomBot,DEFEAT,0,3
205,RandomBot,DEFEAT,0,3
206,RandomBot,DEFEAT,0,3
207,RandomBot,VICTORY,0,4
208,RandomBot,DEFEAT,0,2
209,RandomBot,VICTORY,0,2
210,RandomBot,DEFEAT,0,2
211,RandomBot,VICTORY,0,1
212,RandomBot,DEFEAT,0,2
213,RandomBot,DEFEAT,0,3
214,RandomBot,DEFEAT,1,2
